"Plate","Well","ID"
"3A","E8","EE_B0_PV_245"
"3A","E9","EE_B0_PV_253"
"3A","E10","EE_B0_PV_261"
"3A","E11",NA
"3A","E12",NA
"3A","F1","EE_B0_JC_190"
"3A","F2","EE_B0_JC_198"
"3A","F3","EE_B0_HW_206"
"3A","F4","EE_B0_HW_214"
"3A","F5","EE_B0_HW_222"
"3A","F6","EE_B0_HW_230"
"3A","F7","EE_B0_PV_238"
"3A","F8","EE_B0_PV_246"
"3A","F9","EE_B0_PV_254"
"3A","F10","EE_B0_PV_262"
"3A","F11",NA
"3A","F12",NA
"3A","G1","EE_B0_JC_191"
"3A","G2","EE_B0_JC_199"
"3A","G3","EE_B0_HW_207"
"3A","G4","EE_B0_HW_215"
"3A","G5","EE_B0_HW_223"
"3A","G6","EE_B0_HW_231"
"3A","G7","EE_B0_PV_239"
"3A","G8","EE_B0_PV_247"
"3A","G9","EE_B0_PV_255"
"3A","G10","EE_B0_PV_263"
"3A","G11",NA
"3A","G12",NA
"3A","H1","EE_B0_JC_192"
"3A","H2","EE_B0_JC_200"
"3A","H3","EE_B0_HW_208"
"3A","H4","EE_B0_HW_216"
"3A","H5","EE_B0_HW_224"
"3A","H6","EE_B0_HW_232"
"3A","H7","EE_B0_PV_240"
"3A","H8","EE_B0_PV_248"
"3A","H9","EE_B0_PV_256"
"3A","H10","EE_B0_PV_264"
"3A","H11",NA
"3A","H12",NA
"4A","A1","EE_CO_TC_266"
"4A","A2","EE_CO_TC_274"
"4A","A3","EE_CO_TC_282"
"4A","A4","EE_CO_TC_290"
"4A","A5","EE_CO_TC_298"
"4A","A6","EE_CO_TC_306"
"4A","A7","EE_CO_PU_314"
"4A","A8","EE_CO_PU_322"
"4A","A9","EE_CO_PU_330"
"4A","A10","EE_CO_PU_338"
"4A","A11","EE_CO_PU_346"
"4A","A12","EE_CO_PU_354"
"4A","B1","EE_CO_TC_267"
"4A","B2","EE_CO_TC_275"
"4A","B3","EE_CO_TC_283"
"4A","B4","EE_CO_TC_291"
"4A","B5","EE_CO_TC_299"
"4A","B6","EE_CO_TC_307"
"4A","B7","EE_CO_PU_315"
"4A","B8","EE_CO_PU_323"
"4A","B9","EE_CO_PU_331"
"4A","B10","EE_CO_PU_339"
"4A","B11","EE_CO_PU_347"
"4A","B12","EE_CO_PU_355"
"4A","C1","EE_CO_TC_268"
"4A","C2","EE_CO_TC_276"
"4A","C3","EE_CO_TC_284"
"4A","C4","EE_CO_TC_292"
"4A","C5","EE_CO_TC_300"
"4A","C6","EE_CO_TC_308"
"4A","C7","EE_CO_PU_316"
"4A","C8","EE_CO_PU_324"
"4A","C9","EE_CO_PU_332"
"4A","C10","EE_CO_PU_340"
"4A","C11","EE_CO_PU_348"
"4A","C12","EE_CO_PU_356"
"4A","D1","EE_CO_TC_269"
"4A","D2","EE_CO_TC_277"
"4A","D3","EE_CO_TC_285"
"4A","D4","EE_CO_TC_293"
"4A","D5","EE_CO_TC_301"
"4A","D6","EE_CO_TC_309"
"4A","D7","EE_CO_PU_317"
"4A","D8","EE_CO_PU_325"
"4A","D9","EE_CO_PU_333"
"4A","D10","EE_CO_PU_341"
"4A","D11","EE_CO_PU_349"
"4A","D12","EE_CO_PU_357"
"4A","E1","EE_CO_TC_270"
"4A","E2","EE_CO_TC_278"
"4A","E3","EE_CO_TC_286"
"4A","E4","EE_CO_TC_294"
"4A","E5","EE_CO_TC_302"
"4A","E6","EE_CO_TC_310"
"4A","E7","EE_CO_PU_318"
"4A","E8","EE_CO_PU_326"
"4A","E9","EE_CO_PU_334"
"4A","E10","EE_CO_PU_342"
"4A","E11","EE_CO_PU_350"
"4A","E12",NA
"4A","F1","EE_CO_TC_271"
"4A","F2","EE_CO_TC_279"
"4A","F3","EE_CO_TC_287"
"4A","F4","EE_CO_TC_295"
"4A","F5","EE_CO_TC_303"
"4A","F6","EE_CO_TC_311"
"4A","F7","EE_CO_PU_319"
"4A","F8","EE_CO_PU_327"
"4A","F9","EE_CO_PU_335"
"4A","F10","EE_CO_PU_343"
"4A","F11","EE_CO_PU_351"
"4A","F12",NA
"4A","G1","EE_CO_TC_272"
"4A","G2","EE_CO_TC_280"
"4A","G3","EE_CO_TC_288"
"4A","G4","EE_CO_TC_296"
"4A","G5","EE_CO_TC_304"
"4A","G6","EE_CO_PU_312"
"4A","G7","EE_CO_PU_320"
"4A","G8","EE_CO_PU_328"
"4A","G9","EE_CO_PU_336"
